season,team,market_value_eur
2022,Albirex Niigata,5.5
2022,Avispa Fukuoka,5.8
2022,Cerezo Osaka,10.5
2022,FC Tokyo,12.0
2022,Gamba Osaka,11.2
2022,Hokkaido Consadole Sapporo,8.0
2022,Iwata,7.0
2022,Kashima Antlers,14.3
2022,Kashiwa Reysol,9.2
2022,Kawasaki Frontale,19.2
2022,Kofu,3.2
2022,Kyoto,6.0
2022,Montedio Yamagata,3.5
2022,Nagoya Grampus,10.8
2022,Okayama,3.0
2022,Omiya Ardija,4.5
2022,Sagan Tosu,6.2
2022,Sanfrecce Hiroshima,9.5
2022,Shimizu S-Pulse,7.5
2022,Shonan Bellmare,5.5
2022,Urawa Reds,15.8
2022,Vegalta Sendai,6.5
2022,Verdy,4.8
2022,Vissel Kobe,18.5
2022,Yokohama F. Marinos,17.5
2022,Yokohama FC,5.0
2023,Albirex Niigata,6.0
2023,Avispa Fukuoka,6.2
2023,Cerezo Osaka,11.8
2023,FC Tokyo,13.5
2023,Gamba Osaka,12.5
2023,Hokkaido Consadole Sapporo,8.5
2023,Iwata,7.5
2023,Kashima Antlers,15.0
2023,Kashiwa Reysol,9.8
2023,Kawasaki Frontale,20.5
2023,Kofu,3.5
2023,Kyoto,6.5
2023,Montedio Yamagata,3.8
2023,Nagoya Grampus,11.5
2023,Okayama,3.2
2023,Omiya Ardija,4.8
2023,Sagan Tosu,7.0
2023,Sanfrecce Hiroshima,10.2
2023,Shimizu S-Pulse,8.0
2023,Shonan Bellmare,5.8
2023,Urawa Reds,17.2
2023,Vegalta Sendai,5.5
2023,Verdy,5.2
2023,Vissel Kobe,25.0
2023,Yokohama F. Marinos,22.0
2023,Yokohama FC,5.5
2024,Avispa Fukuoka,10.83
2024,Cerezo Osaka,14.35
2024,FC Tokyo,15.68
2024,Gamba Osaka,16.13
2024,Kashima Antlers,23.03
2024,Kashiwa Reysol,18.45
2024,Kawasaki Frontale,21.3
2024,Kyoto,15.73
2024,Nagoya Grampus,15.9
2024,Okayama,10.85
2024,Sanfrecce Hiroshima,20.9
2024,Shimizu S-Pulse,12.9
2024,Urawa Reds,17.73
2024,V-Varen Nagasaki,14.95
2024,Verdy,8.7
2024,Vissel Kobe,17.7
2024,Yokohama F. Marinos,14.43
