hold_cnt_id,match_no,result
1572,1,1
1572,2,2
1572,3,0
1572,4,2
1572,5,1
1572,6,1
1572,7,1
1572,8,2
1572,9,0
1572,10,2
1572,11,0
1572,12,2
1572,13,0
1574,1,0
1574,2,0
1574,3,1
1574,4,1
1574,5,0
1574,6,1
1574,7,1
1574,8,1
1574,9,0
1574,10,0
1574,11,1
1574,12,2
1574,13,2
1576,1,0
1576,2,1
1576,3,0
1576,4,2
1576,5,1
1576,6,1
1576,7,1
1576,8,1
1576,9,0
1576,10,1
1576,11,2
1576,12,1
1576,13,0
1578,1,1
1578,2,1
1578,3,1
1578,4,2
1578,5,0
1578,6,0
1578,7,2
1578,8,2
1578,9,1
1578,10,1
1578,11,2
1578,12,0
1578,13,1
1580,1,1
1580,2,2
1580,3,2
1580,4,1
1580,5,0
1580,6,0
1580,7,1
1580,8,0
1580,9,0
1580,10,0
1580,11,2
1580,12,0
1580,13,1
1582,1,0
1582,2,1
1582,3,1
1582,4,2
1582,5,1
1582,6,1
1582,7,1
1582,8,0
1582,9,0
1582,10,1
1582,11,2
1582,12,1
1582,13,0
1583,1,2
1583,2,1
1583,3,2
1583,4,1
1583,5,2
1583,6,1
1583,7,0
1583,8,1
1583,9,0
1583,10,2
1583,11,1
1583,12,2
1583,13,2
1585,1,1
1585,2,1
1585,3,1
1585,4,2
1585,5,0
1585,6,0
1585,7,0
1585,8,2
1585,9,2
1585,10,1
1585,11,1
1585,12,1
1585,13,1
1586,1,1
1586,2,1
1586,3,0
1586,4,2
1586,5,1
1586,6,2
1586,7,1
1586,8,2
1586,9,1
1586,10,2
1586,11,2
1586,12,2
1586,13,2
1588,1,1
1588,2,0
1588,3,1
1588,4,1
1588,5,0
1588,6,1
1588,7,2
1588,8,0
1588,9,0
1588,10,1
1588,11,1
1588,12,2
1588,13,1
1589,1,2
1589,2,0
1589,3,0
1589,4,2
1589,5,0
1589,6,1
1589,7,0
1589,8,2
1589,9,0
1589,10,0
1589,11,1
1589,12,0
1589,13,2
1591,1,1
1591,2,2
1591,3,2
1591,4,2
1591,5,1
1591,6,1
1591,7,2
1591,8,1
1591,9,2
1591,10,0
1591,11,1
1591,12,2
1591,13,0
1593,1,2
1593,2,1
1593,3,1
1593,4,0
1593,5,1
1593,6,1
1593,7,1
1593,8,1
1593,9,0
1593,10,0
1593,11,1
1593,12,1
1593,13,1
1595,1,1
1595,2,1
1595,3,0
1595,4,0
1595,5,2
1595,6,2
1595,7,1
1595,8,1
1595,9,1
1595,10,2
1595,11,1
1595,12,0
1595,13,1
1596,1,0
1596,2,0
1596,3,0
1596,4,2
1596,5,2
1596,6,2
1596,7,0
1596,8,2
1596,9,1
1596,10,0
1596,11,2
1596,12,1
1596,13,0
1603,1,1
1603,2,0
1603,3,1
1603,4,1
1603,5,2
1603,6,0
1603,7,0
1603,8,1
1603,9,2
1603,10,1
1603,11,0
1603,12,1
1603,13,1
1604,1,2
1604,2,2
1604,3,1
1604,4,2
1604,5,1
1604,6,1
1604,7,2
1604,8,2
1604,9,1
1604,10,1
1604,11,2
1604,12,0
1604,13,2
1605,1,1
1605,2,2
1605,3,2
1605,4,2
1605,5,1
1605,6,2
1605,7,1
1605,8,2
1605,9,0
1605,10,1
1605,11,0
1605,12,1
1605,13,1
1606,1,0
1606,2,2
1606,3,1
1606,4,0
1606,5,1
1606,6,2
1606,7,1
1606,8,1
1606,9,1
1606,10,0
1606,11,0
1606,12,0
1606,13,2
1608,1,2
1608,2,0
1608,3,0
1608,4,0
1608,5,1
1608,6,1
1608,7,1
1608,8,2
1608,9,1
1608,10,2
1608,11,2
1608,12,2
1608,13,0
1609,1,0
1609,2,0
1609,3,1
1609,4,2
1609,5,2
1609,6,0
1609,7,0
1609,8,0
1609,9,0
1609,10,1
1609,11,1
1609,12,2
1609,13,2
1610,1,2
1610,2,1
1610,3,1
1610,4,2
1610,5,2
1610,6,2
1610,7,2
1610,8,0
1610,9,1
1610,10,0
1610,11,1
1610,12,2
1610,13,0
1613,1,1
1613,2,0
1613,3,1
1613,4,0
1613,5,0
1613,6,2
1613,7,2
1613,8,0
1613,9,2
1613,10,2
1613,11,2
1613,12,2
1613,13,0
1614,1,1
1614,2,1
1614,3,2
1614,4,1
1614,5,1
1614,6,1
1614,7,1
1614,8,0
1614,9,0
1614,10,0
1614,11,0
1614,12,2
1614,13,0
1616,1,1
1616,2,2
1616,3,0
1616,4,2
1616,5,1
1616,6,2
1616,7,0
1616,8,1
1616,9,1
1616,10,1
1616,11,2
1616,12,1
1616,13,2
1618,1,2
1618,2,1
1618,3,0
1618,4,2
1618,5,1
1618,6,0
1618,7,1
1618,8,0
1618,9,2
1618,10,0
1618,11,1
1618,12,1
1618,13,1
1619,1,2
1619,2,1
1619,3,0
1619,4,0
1619,5,1
1619,6,0
1619,7,2
1619,8,1
1619,9,2
1619,10,1
1619,11,1
1619,12,0
1619,13,0
1620,1,1
1620,2,1
1620,3,2
1620,4,2
1620,5,1
1620,6,0
1620,7,1
1620,8,2
1620,9,1
1620,10,0
1620,11,2
1620,12,2
1620,13,1
1621,1,0
1621,2,0
1621,3,1
1621,4,1
1621,5,2
1621,6,1
1621,7,2
1621,8,0
1621,9,2
1621,10,1
1621,11,2
1621,12,1
1621,13,1
