hold_cnt_id,match_no,home_team,away_team,vote_rate_1,vote_rate_0,vote_rate_2
1572,1,町田,岡山,71.88,18.7,9.42
1572,2,名古屋,鹿島,13.97,18.5,67.53
1572,3,東京Ｖ,浦和,19.11,26.1,54.79
1572,4,福岡,広島,11.11,17.93,70.96
1572,5,神戸,清水,71.97,17.02,11.01
1572,6,Ｇ大阪,新潟,81.54,10.68,7.78
1572,7,横浜FC,湘南,45.48,31.09,23.43
1572,8,FC東京,横浜FM,54.68,21.91,23.41
1572,9,川崎Ｆ,柏,37.98,29.88,32.14
1572,10,Ｃ大阪,京都,29.18,23.63,47.19
1572,11,秋田,長崎,9.74,14.84,75.42
1572,12,富山,徳島,12.14,18.99,68.87
1572,13,今治,鳥栖,32.09,23.87,44.04
1574,1,清水,FC東京,45.07,27.62,27.31
1574,2,新潟,岡山,19.25,23.31,57.44
1574,3,広島,町田,53.47,25.27,21.26
1574,4,柏,横浜FM,72.99,13.19,13.82
1574,5,京都,川崎Ｆ,42.7,23.05,34.25
1574,6,名古屋,Ｃ大阪,30.82,24.06,45.12
1574,7,福岡,横浜FC,42.24,30.44,27.32
1574,8,浦和,神戸,18.73,19.84,61.43
1574,9,鹿島,Ｇ大阪,73.18,13.89,12.93
1574,10,秋田,大分,52.75,27.66,19.59
1574,11,徳島,今治,50.55,26.18,23.27
1574,12,熊本,いわき,25.54,19.41,55.05
1574,13,札幌,山形,56.86,18.21,24.93
1576,1,ﾁｪｺ,ｸﾛｱﾁｱ,18.56,26.31,55.13
1576,2,ｽｺｯﾄﾗﾝ,ｷﾞﾘｼｬ,39.11,29.52,31.37
1576,3,ｷﾌﾟﾛｽ,ﾎﾞｽﾆｱ,14.8,21.56,63.64
1576,4,ｽｳｪﾃﾞﾝ,ｽｲｽ,27.71,27.62,44.67
1576,5,ﾌﾗﾝｽ,ｱｾﾞﾙﾊﾞ,93.99,3.42,2.59
1576,6,ﾌｨﾝﾗﾝ,ﾘﾄｱﾆｱ,61.61,25.91,12.48
1576,7,ﾄﾞｲﾂ,ﾙｸｾﾝﾌﾞ,92.28,4.8,2.92
1576,8,北アイ,ｽﾛﾊﾞｷｱ,24.52,30.17,45.31
1576,9,ﾍﾞﾙｷﾞｰ,北マケ,77.58,15.41,7.01
1576,10,ﾌｪﾛｰ,ﾓﾝﾃﾈｸﾞ,23.1,28.38,48.52
1576,11,ﾏﾙﾀ,ｵﾗﾝﾀﾞ,3.43,3.98,92.59
1576,12,ｵｰｽﾄﾘｱ,ｻﾝﾏﾘﾉ,93.42,3.69,2.89
1576,13,ｺｿﾎﾞ,ｽﾛﾍﾞﾆｱ,33.24,28.56,38.2
1578,1,ｵﾗﾝﾀﾞ,ﾌｨﾝﾗﾝ,86.17,9.18,4.65
1578,2,ﾙｰﾏﾆｱ,ｵｰｽﾄﾘｱ,16.97,31.04,51.99
1578,3,ﾃﾞﾝﾏｰｸ,ｷﾞﾘｼｬ,66.61,22.6,10.79
1578,4,ｳｪｰﾙｽﾞ,ﾍﾞﾙｷﾞｰ,23.45,31.46,45.09
1578,5,ｽﾛﾍﾞﾆｱ,ｽｲｽ,10.4,21.53,68.07
1578,6,ｱｲｽﾗﾝ,ﾌﾗﾝｽ,6.28,13.24,80.48
1578,7,ｽｳｪﾃﾞﾝ,ｺｿﾎﾞ,55.67,26.06,18.27
1578,8,北アイ,ﾄﾞｲﾂ,10.84,19.7,69.46
1578,9,ｽﾛﾊﾞｷｱ,ﾙｸｾﾝﾌﾞ,76.36,16.98,6.66
1578,10,ﾌｪﾛｰ,ﾁｪｺ,13.75,23.51,62.74
1578,11,ﾘﾄｱﾆｱ,ﾎﾟｰﾗﾝ,7.8,20.47,71.73
1578,12,北マケ,ｶｻﾞﾌ,68.47,22.01,9.52
1578,13,ｸﾛｱﾁｱ,ｼﾞﾌﾞﾗﾙ,91.56,4.37,4.07
1580,1,東京Ｖ,新潟,59.01,27.68,13.31
1580,2,Ｇ大阪,柏,33.31,24.64,42.05
1580,3,岡山,Ｃ大阪,24.81,30.26,44.93
1580,4,川崎Ｆ,清水,68.28,19.12,12.6
1580,5,横浜FC,名古屋,21.26,23.91,54.83
1580,6,町田,福岡,69.63,20.39,9.98
1580,7,横浜FM,浦和,28.48,26.91,44.61
1580,8,湘南,京都,10.18,12.78,77.04
1580,9,大分,仙台,11.68,21.61,66.71
1580,10,山形,熊本,72.63,15.97,11.4
1580,11,富山,札幌,14.55,21.49,63.96
1580,12,今治,山口,72.45,18.11,9.44
1580,13,鳥栖,秋田,65.62,23.82,10.56
1582,1,浦和,町田,33.22,29.32,37.46
1582,2,清水,東京Ｖ,46.34,29.48,24.18
1582,3,柏,横浜FC,81.35,12.07,6.58
1582,4,名古屋,Ｇ大阪,29.58,23.39,47.03
1582,5,Ｃ大阪,川崎Ｆ,24.22,20.6,55.18
1582,6,FC東京,岡山,60.91,24.0,15.09
1582,7,横浜FM,広島,26.85,19.37,53.78
1582,8,京都,鹿島,24.85,26.93,48.22
1582,9,新潟,神戸,7.77,12.46,79.77
1582,10,福岡,湘南,60.78,25.97,13.25
1582,11,札幌,水戸,22.22,19.5,58.28
1582,12,山口,富山,45.23,33.97,20.8
1582,13,秋田,千葉,16.36,18.61,65.03
1583,1,柏,広島,46.4,27.69,25.91
1583,2,いわき,藤枝,70.76,17.36,11.88
1583,3,甲府,水戸,17.69,20.12,62.19
1583,4,磐田,長崎,22.15,22.03,55.82
1583,5,大分,山形,19.76,28.15,52.09
1583,6,大宮,秋田,75.37,16.46,8.17
1583,7,富山,愛媛,53.86,27.85,18.29
1583,8,今治,仙台,17.15,28.31,54.54
1583,9,鳥栖,徳島,46.51,27.05,26.44
1583,10,熊本,山口,54.65,27.8,17.55
1583,11,千葉,札幌,67.55,16.48,15.97
1583,12,栃木SC,岐阜,62.86,22.27,14.87
1583,13,八戸,北九州,66.32,19.31,14.37
1585,1,鹿島,横浜FC,80.28,12.52,7.2
1585,2,湘南,新潟,35.64,31.73,32.63
1585,3,広島,浦和,62.73,20.89,16.38
1585,4,町田,FC東京,57.03,24.04,18.93
1585,5,Ｇ大阪,神戸,26.67,22.01,51.32
1585,6,東京Ｖ,福岡,32.39,36.7,30.91
1585,7,川崎Ｆ,岡山,79.6,12.06,8.34
1585,8,京都,横浜FM,51.33,20.45,28.22
1585,9,清水,Ｃ大阪,26.51,24.63,48.86
1585,10,柏,名古屋,75.22,13.93,10.85
1585,11,札幌,大分,45.1,30.47,24.43
1585,12,仙台,熊本,75.62,15.69,8.69
1585,13,徳島,甲府,60.62,22.66,16.72
1586,1,ｲﾝｸﾞﾗﾝ,ｾﾙﾋﾞｱ,77.77,15.78,6.45
1586,2,ｱｲﾙﾗﾝ,ﾎﾟﾙﾄｶﾞ,11.38,26.51,62.11
